ID,Old_ID,DOI,Q1 - Review article? (Scopus),Q1 - Review article? (WoS),Q2 - Addendum or Neupane? (Scopus),Q2 - Addendum or Neupane? (WoS),Q3: Introduction section?,label in the reference list,Number of citation contexts,Citation marker,Citation context,Introduction section?,Author,Title,Year,Journal,Source,Other notes
252,251,10.1145/3442442.3451368,n,n,y,y,,18,1,[18],"Two more datasets were used to test our strategy. The first is a gold-standard keystone citation context data set: the JCDL dataset contains nine keystone citation context sentences collected by the authors YF and JS for [6], all supporting methods and materials (Table 2). The second dataset was chosen as a larger testbed: the Willoughby-Hoye dataset is a collection of 99 citation context sentences citing the Willoughby-Hoye protocol [18] downloaded from scite.ai1 on Dec30,2020.This paper was chosen since it was found to contain a code glitch [1] and was a subject of our previous study [6].",n,"Fu Y., Schneider J., Blake C.",Finding Keystone Citations for Constructing Validity Chains among Research Papers,2021,WEB CONFERENCE 2021: COMPANION OF THE WORLD WIDE WEB CONFERENCE (WWW 2021),"Scopus, Web of Science",WWW 21 article by Yuanxi and Jodi
253,252,10.1177/1934578X20920042,n,n,n,n,,10,1,10,"Compound 1 was obtained as a white amorphous solid. Its infrared (IR) spectrum exhibited absorption bands of carbonyl (1747 and 1732 cm−1) functionalities. Its high-resolution electrospray ionization mass spectrometry (HR-ESI-MS) data (supplemental Figure 4S) showed a deprotonated molecular ion [M − H]− at m/z 178.0152, which together with 13C nuclear magnetic resonance (NMR) data are consistent with a molecular formula of C8H5NO4. Seven degrees of unsaturation were thus assigned for 1. The 1H NMR spectrum of 1 in dimethyl sulfoxide (DMSO)-d 6 (supplemental Figure 9S) indicated the resonances at δ H 7.25 (dd, J = 2.0, 7.5 Hz, H-5), 7.19 (dd, J = 7.5, 8.0 Hz, H-6), and 7.24 (dd, J = 1.5, 8.0 Hz, H-7), and 2 exchangeable protons at δ H 11.97 (br. s) and 10.42 (br. s). The presence of the 2 exchangeable protons was confirmed by the 1H NMR spectrum of 1 in deuterated methanol (CD3OD) (supplemetal Figure 5S) in which the resonances of these 2 exchangeable protons were not observed. Analysis of the 13C NMR (supplemental Figures 6S and 10S) with the aid of heteronuclear single quantum coherence (HSQC) spectra (supplemental Figure 7S) revealed the presence of 8 sp2 carbon resonances, including 3 methines and 5 quaternary carbons. This observation suggested the presence of a 1,2,3-trisubstituted benzene ring. The assignment of carbon signals corresponding to each proton signal was achieved by an HSQC experiment(Table 1). In the heteronuclear multiple bond correlation (HMBC) spectrum of 1 (supplemental Figures 8S and 11S), the presence of the 1,2,3-trisubstituted benzene ring was confirmed by cross-peaks of H-7 (δ H 7.24) with C-3a (δ C 142.5) and C-7a (δ C 145.0) and H-5 (δ H 7.25) with C-4 (δ C 115.6) and C-3a. The carbonyl C-8 at (δ C 161.6) was linked to C-4 of the benzene ring by its HMBC correlation with H-5 (Figure 2). Taking into account the molecular formula of C8H5NO4 was established above, 4 possible structures 1, 1a, 1b, or 1c could be suggested for 1 (Figure 3). Since the 2 exchangeable broad singlet protons had no correlation in the HMBC spectrum, the structural assignment of 1 could not be resolved by 2D NMR data. Comparison of the NMR data of 1 with that previously reported for 1a 8 indicated significant differences, especially for the carbon chemical shifts of C-3a (δ C 142.5 for 1 and 133.0 for 1b), C-2 (δ C 147.2 for 1 and 156.7 for 1b) and C-8 (δ C 161.6 for 1 and 167.8 for 1b). The carbon chemical shifts of four structures 1, 1a, 1b, and 1c were calculated by using the Gaussian 09 program.9 To obtain minimum energy conformers, geometry optimization of each possible isomer of these compounds was conducted (supplemental Figures 1S-4S, supplemental Tables 1S-4S). The NMR data of compounds 1, 1a, 1b and 1c were generated by using the density functional theory method at the B3LYP/6–31G*(2d,p) level.10 The carbon chemical shift differences between experimental values of 1 with those of calculated by theory in methanol of 1, 1a, 1b, and 1c (Δδ exp – δ calcd) were presented in Table 2. These values of the aromatic carbons linking to nitrogen, C-3a (for 1a), and C-7a (for 1b) were largely different comparing to experimental chemical shifts of 1, 11.2 and 18.9 ppm, respectively. The significant difference was noted for C-2 (Δδ exp – δ calcd: −7.0), C-5 (Δδ exp – δ calcd: −8.4), and C-7 (Δδ exp – δ calcd: +8.7) of 1c (supplemental Table 8S). Whereas the calculated chemical shifts of 1 were close to the experimental values (Table 2 and supplemental Table S5). Additionally, chemical shifts difference between C-3a and C-7a for 1 was around 2.3 ppm (Table 1), while this value was 11.0 (for 1a) and 11.7 ppm (for 1b) by theory calculation (supplemental Tables 6S and 7S). This analysis allowed determining the structure of 1 as 1,3-benzodioxole-2-one-4-carboxylamide. The 2 exchangeable NH2 protons had different chemical shifts at δ H 11.97 and 10.42, probably due to hydrogen bonding of 1 proton of NH2 group with the oxygen at the position 3 making these 2 NH2 protons inequivalent. This was supported by a conformational calculation of 1 which indicated 1 proton of NH2 group was oriented toward the oxygen O-3 in the structure of the most stable conformer (94.1%) (supplemental Figure 1S and Table 1S). The calculated carbon chemical shifts of compound 1a (supplemental Table 5S) were in good agreement with those reported in the literature.8",n,"Phi Thi D., Doan Thi Mai H., Cao D.D., Vu Thi Q., Nguyen M.A., Le Thi H.M., Tran D.T., Chau V.M., Pham V.C.","Novel 1,3-Benzodioxole From Marine-Derived Actinomycete in East Vietnam Sea",2020,NATURAL PRODUCT COMMUNICATIONS,"Scopus, Web of Science",
254,253,10.1186/s13321-018-0305-8,n,n,n,n,,92,7,[92],"For an initial demonstration of ISiCLE, we have compiled a molecule set of 312 compounds from previous studies: Alver [63], Asiri et al. [64], Bally and Rablen [65], Bagno et al. [66], Borkowski et al. [67], Coruh et al. [68], Fulmer et al. [69], Hill et al. [70], Izgi et al. [71], Karabacak et al. [72], Krishnakumar et al. [73–75], Kwan and Liu [45], Li et al. [76], Lomas [77], Osmialowski et al. [78], Par- lak et al. [79], Perez et al. [80], Rablen et al. [81], Sarotti and Pellegrinet [82, 83], Sebastian et al. [84], Seca et al. [52], Senyel et al. [85, 86], Sridevi et al. [87], Tormena and da Silva [88], Vijaya and Sankaran [89], Watts et al. [53], Wiitala et al. [90, 91], Willoughby et al. [92], and Yang et al. [93]. We aimed to cover a broad chemical space and distribution of sizes. Our criteria also included the existence of all 1H and/or 13C NMR experimental data in chloroform solvent, referenced to TMS at room tem- perature, for comparisons. Note that the NMR spectra of each molecule set were not recorded at the same mag- netic field strengths. A summary of the demonstration set compounds are given in Table 1. Detailed information about the individual sets is given in Additional file 1 (S3). ",n,"Yesiltepe Y., Nu√±ez J.R., Colby S.M., Thomas D.G., Borkum M.I., Reardon P.N., Washton N.M., Metz T.O., Teeguarden J.G., Govind N., Renslow R.S.",An automated framework for NMR chemical shift calculations of small organic molecules,2018,JOURNAL OF CHEMINFORMATICS,"Scopus, Web of Science",
254,253,10.1186/s13321-018-0305-8,n,n,n,n,,92,7,[92],Willoughby et al. [92] 2 22 14 7 Cis-/trans-diastereomers of 3-methylcyclohexanol,n,"Yesiltepe Y., Nu√±ez J.R., Colby S.M., Thomas D.G., Borkum M.I., Reardon P.N., Washton N.M., Metz T.O., Teeguarden J.G., Govind N., Renslow R.S.",An automated framework for NMR chemical shift calculations of small organic molecules,2018,JOURNAL OF CHEMINFORMATICS,"Scopus, Web of Science",The citation contexts is a row in a table
254,253,10.1186/s13321-018-0305-8,n,n,n,n,,92,7,[92],"For a second demonstration of ISiCLE, the NMR chemical shifts, along with frequency calculations (and subsequent Boltzmann weighting), two sets of axial and equatorial conformers (40 conformers each) of methyl- cyclohexane were processed. We performed in vacuo molecular dynamics (MD) simulations, using the sander MD software program from AmberTools (version 14) [106], to generate 80 conformers of the methylcyclohex- ane compound. These conformers were generated in four stages. First, the initial geometries of axial and equato- rial conformers were taken from the study of Willoughby et al. [92]. Second, a short energy minimization run was performed to relax the initial structure and to remove any non-physical atom contacts. Third, a short 50 ps MD run was performed (in 0.5 fs time steps) to heat the struc- ture from 0 to 300 K, without non-bonded cutoffs. In the fourth step, we performed 8 simulated annealing cycles, where each cycle was run for 1600 ps in 1 fs MD steps with the following temperature profile: heating from 300 to 600 K (0–300 ps), equilibration at 600 K (300–800 ps), cooling from 600 to 300 K (800–1100 ps), and equilibra- tion at 300 K (1100–1600 ps). Ten conformers from the equilibration stage at 300 K, of each simulated annealing cycle, were randomly selected to obtain the 80 conform- ers. After the conformers were obtained, M06-2X was used with the basis set of 6-31+G(d,p) for the geometry optimization and frequency calculations and B3LYP with 6-311+G(2d,p) method for the calculations of NMR chemical shifts. Relative free energies of the conforma- tions and Boltzmann weighted NMR chemical shifts were compared to those found in the literature [92, 107–109].",n,"Yesiltepe Y., Nu√±ez J.R., Colby S.M., Thomas D.G., Borkum M.I., Reardon P.N., Washton N.M., Metz T.O., Teeguarden J.G., Govind N., Renslow R.S.",An automated framework for NMR chemical shift calculations of small organic molecules,2018,JOURNAL OF CHEMINFORMATICS,"Scopus, Web of Science",The citation marker appeared multiple times in the same paragraph
254,253,10.1186/s13321-018-0305-8,n,n,n,n,,92,7,"[92, 107–109]","For a second demonstration of ISiCLE, the NMR chemical shifts, along with frequency calculations (and subsequent Boltzmann weighting), two sets of axial and equatorial conformers (40 conformers each) of methyl- cyclohexane were processed. We performed in vacuo molecular dynamics (MD) simulations, using the sander MD software program from AmberTools (version 14) [106], to generate 80 conformers of the methylcyclohex- ane compound. These conformers were generated in four stages. First, the initial geometries of axial and equato- rial conformers were taken from the study of Willoughby et al. [92]. Second, a short energy minimization run was performed to relax the initial structure and to remove any non-physical atom contacts. Third, a short 50 ps MD run was performed (in 0.5 fs time steps) to heat the struc- ture from 0 to 300 K, without non-bonded cutoffs. In the fourth step, we performed 8 simulated annealing cycles, where each cycle was run for 1600 ps in 1 fs MD steps with the following temperature profile: heating from 300 to 600 K (0–300 ps), equilibration at 600 K (300–800 ps), cooling from 600 to 300 K (800–1100 ps), and equilibra- tion at 300 K (1100–1600 ps). Ten conformers from the equilibration stage at 300 K, of each simulated annealing cycle, were randomly selected to obtain the 80 conform- ers. After the conformers were obtained, M06-2X was used with the basis set of 6-31+G(d,p) for the geometry optimization and frequency calculations and B3LYP with 6-311+G(2d,p) method for the calculations of NMR chemical shifts. Relative free energies of the conforma- tions and Boltzmann weighted NMR chemical shifts were compared to those found in the literature [92, 107–109].",n,"Yesiltepe Y., Nu√±ez J.R., Colby S.M., Thomas D.G., Borkum M.I., Reardon P.N., Washton N.M., Metz T.O., Teeguarden J.G., Govind N., Renslow R.S.",An automated framework for NMR chemical shift calculations of small organic molecules,2018,JOURNAL OF CHEMINFORMATICS,"Scopus, Web of Science",The citation marker appeared multiple times in the same paragraph
254,253,10.1186/s13321-018-0305-8,n,n,n,n,,92,7,"[92, 114–116]","NMR chemical shift calculations have been used success- fully to identify new molecules, determine metabolite identifications, and eliminate structural misassignments [59, 113]. In the last two decades, many research groups have performed benchmark DFT studies on the accuracy of optimized molecular geometry [92, 114–116], func- tionals [117, 118], basis sets [88, 119], and solvation mod- els [90, 120, 121] for NMR chemical shifts [60, 122–124]. Each group uses a molecule set focusing on a unique chemical class [78, 125–129] and several groups have rec- ommended different exchange–correlation (XC) energy functionals with a different basis set for a particular condition or suitable to specific chemical functionalities and properties [70, 77, 130–133]. The prevailing opinion is that reliable isotropic NMR chemical shifts strongly depend on accurate calculations of molecular geometries and inclusion of HF exchange in selected DFT methods, to an extent [134, 135]. On the other hand, the size of the basis set does not increase the accuracy after a point [136, 137].",n,"Yesiltepe Y., Nu√±ez J.R., Colby S.M., Thomas D.G., Borkum M.I., Reardon P.N., Washton N.M., Metz T.O., Teeguarden J.G., Govind N., Renslow R.S.",An automated framework for NMR chemical shift calculations of small organic molecules,2018,JOURNAL OF CHEMINFORMATICS,"Scopus, Web of Science",
254,253,10.1186/s13321-018-0305-8,n,n,n,n,,92,7,[92],"Metabolites were experimentally interrogated using solu- tion-state NMR, where the observed signal arises from the combined signals of present conformers. It is routine that NMR chemical shifts calculations are carried out on a single dominant conformer. However, it is well known that metabolites do not comprise a single conformer in solution and are instead found in a collection of various conformers [148], and the accuracy of NMR chemical shifts heavily depends on molecular geometries and con- formation consideration [46]. It has been shown that for the highest accuracy NMR chemical shift calculations, consideration of conformers is critical, even for relatively small molecules [149]. As a second demonstration of ISi- CLE, a conformational analysis based on DFT was per- formed on a set of 80 conformers of methylcyclohexane using a Boltzmann distribution technique. Boltzmann weighting determines the fractional population of each conformer based on its energy level [92]. High-through- put and straightforward DFT-based NMR chemical shift calculations of all 80 methylcyclohexane conformers was performed by ISiCLE then compared to experimental values.",n,"Yesiltepe Y., Nu√±ez J.R., Colby S.M., Thomas D.G., Borkum M.I., Reardon P.N., Washton N.M., Metz T.O., Teeguarden J.G., Govind N., Renslow R.S.",An automated framework for NMR chemical shift calculations of small organic molecules,2018,JOURNAL OF CHEMINFORMATICS,"Scopus, Web of Science",
254,253,10.1186/s13321-018-0305-8,n,n,n,n,,92,7,[92],"It has been shown by Willoughby et al. [92] that the effects of molecular flexibility on NMR chemical shifts can be captured by Boltzmann weighting analysis, as demonstrated with methylcyclohexane (Fig. 8). Methyl- cyclohexane is a well-studied small molecule [150–154]. It is flexible, composed of a single methyl group attached to a six-membered ring, and known to exist as an assem- bly of two chair conformers. There are two distinct conformations of which chair–chair interconversion is rapid and dominated by equatorial to axial conforma- tion. We weighted 40 axial and 40 equatorial conform- ers in chloroform and obtained a relative free energy of 1.99 kcal/mol with NWChem, similar to calculations using Gaussian [155] by Willoughby et al. [92], and similar to experimental findings (1.73 kcal/mol [156], 1.93 kcal/mol] [108]) and computed (2.15–2.31 kcal/ mol [107] and 1.68–2.48 kcal/mol [109]) values. We compared the Boltzmann-weighted 1H and 13C chemi- cal shifts (a ratio of 3% axial to 97% equatorial) to experi- mental values reported by Willoughby et al. [92]. The Boltzmann-weighted, scaled MAE was 0.017 ppm for 1H chemical shifts (δexp = 1.00 × δcomp+ ∼ 0.00), similar to the experimental value of 0.018 ppm in the study of Wil- loughby et al. Also, the MAE for 13C chemical shifts was 4.4 ppm and decreases to 0.8 ppm when the chemical shifts were scaled (δexp = 0.99 × δcomp + 0.13) (Fig. 9). Further details can be found in the Additional file 1 (S10).",n,"Yesiltepe Y., Nu√±ez J.R., Colby S.M., Thomas D.G., Borkum M.I., Reardon P.N., Washton N.M., Metz T.O., Teeguarden J.G., Govind N., Renslow R.S.",An automated framework for NMR chemical shift calculations of small organic molecules,2018,JOURNAL OF CHEMINFORMATICS,"Scopus, Web of Science",
255,254,10.1186/s13321-019-0374-3,n,n,n,n,,4,1,[4],"The association of particular chemical shift values with certain molecular motifs becomes the knowledge of any working organic chemist, but early on efforts were made to computationally assess these properties. One of the earliest was HOSE codes [2], which attempt to featurize (summarize) the neighborhood around each atom in concentric spheres, and then use a nearest-neighbor approach to predict the particular shift value. Simultane- ously, advances in calculation of NMR properties from first principles (ab initio) made considerable progress with the introduction of Density Functional Theory; today’s DFT-based methods can be quite accurate [3] and reasonably turnkey, if time-consuming, protocols have been developed for their application [4].",y,"Jonas E., Kuhn S.",Rapid prediction of NMR spectral properties with quantified uncertainty,2019,JOURNAL OF CHEMINFORMATICS,"Scopus, Web of Science",
256,255,10.1186/s13321-022-00587-7,n,n,n,n,,127,2,[127],"Currently, the use and acceptance of predicted NMR chemical shifts is limited due to an incomplete under- standing of the required accuracy of such predictions for confident molecular identification. It has already been demonstrated that heuristic/empirical approaches for chemical shift predictions are generally of low accuracy compared to quantum chemical calculation-based meth- ods (e.g. DFT) [83, 104, 105]. For DFT approaches, the factors that significantly affect the accuracy of predicted 13C and/or 1H NMR chemical shifts are the optimization level of molecular geometry [106–108], the use of differ- ent DFT theories [109–112], implicit and explicit solva- tion models [113–115], unique molecular properties of metabolites [116–121], etc. Agreement between pre- dicted and experimental chemical shifts can be improved when (i) the basis set is enlarged [104, 122], (ii) the qual- ity of the method is improved for geometry optimization [123, 124], (iii) a scaling procedure is employed [125, 126], (iv) conformational sampling is applied [127], and (v) solvation is taken into account appropriately [128, 129]. However, the question of what level of accuracy is required for calculated NMR chemical shifts when using these as reference spectra for molecular identification remains largely unexplored.",y,"Yesiltepe Y., Govind N., Metz T.O., Renslow R.S.",An initial investigation of accuracy required for the identification of small molecules in complex samples using quantum chemical calculated NMR chemical shifts,2022,JOURNAL OF CHEMINFORMATICS,"Scopus, Web of Science",
256,255,10.1186/s13321-022-00587-7,n,n,n,n,,127,2,"[127, 140, 141]","The NMR chemical shifts for all molecules in this study were calculated using the In Silico Chemical Library Engine (ISiCLE) [131] (see github.com/pnnl/isicle for the latest version of ISiCLE). ISiCLE is an automated pipeline for high-accuracy chemical property calcula- tion, implemented using the Snakemake workflow man- agement system [132]. This pipeline takes SMILES [133] (a line notation representation of molecule structure) as input, generates initial 3D molecular conformations, and subsequently optimizes this initial structure and calcu- lates chemical properties through quantum chemistry via NWChem [134] (an open-source, high-performance computational chemistry software developed at PNNL). For this study, all molecules were initially optimized in solvent using the computationally inexpensive B3LYP [135, 136] with 3-21G basis set [137–139]. We chose this level of theory due to our available computational resources, particularly considering the treatments for the geometry optimization of over 11 k molecules. It is known that the 3-21G basis set for geometry optimization is not adequate to obtain high accuracy in NMR chemical shift calculations [127, 140, 141], but in this study it is only used to simulate NMR spectral data in order to obtain a reasonable representative distribution of (likely moderate accuracy) chemical shifts. Assessment of the best compu- tational approaches to maximize accuracy of NMR chem- ical shift calculations is beyond the scope of this study. To test whether the NMR spectral data is statistically affected or not by using any other DFT method, the isotropic shielding values of 5 randomly chosen molecules in dif- ferent shapes and sizes from Sets I and II were calculated using 3 different DFT methods. The shielding values were observed to be shifted in the same direction following the same pattern. Further details are given in Additional file 2. The inclusion of solvent is via the COnductor-like Screening MOdel (COSMO) [142] solvation modeling. NMR isotropic shieldings were calculated for all opti- mized molecules at the B3LYP/cc-pVDZ [139, 143] level of theory. Based on our previous assessment [131], this method provides reliable chemical shifts [112] and yields isotropic shieldings with a reasonably low computational cost [144]. The gauge-invariant atomic orbital (GIAO) approach [145] was used to compute 13C and 1H NMR chemical shifts. The computed chemical shifts are pro- vided in Additional file (available upon author request).",n,"Yesiltepe Y., Govind N., Metz T.O., Renslow R.S.",An initial investigation of accuracy required for the identification of small molecules in complex samples using quantum chemical calculated NMR chemical shifts,2022,JOURNAL OF CHEMINFORMATICS,"Scopus, Web of Science",
257,257,10.1371/journal.pone.0198321,n,n,n,n,,17,2,[17],"The planar 1,3-benzodioxin-4-one structure of 1 was elucidated as a new natural product; however, the configurations of the adjacent chiral centers at C-2 and C-9 remained elusive. Due to the lability of the 3,3-dioxy-2-methylbutanoic acid moiety, conventional NOESY experiments used to resolve stereochemical assignments were not discriminatory. Attempts to generate crystals of compound 1 or its potassium salt were also not successful. Chiral HPLC of 1 revealed an approximate 55:45 mixture of enantiomers, dominated by the positive enantio- mer according to the optical rotation values, [α]23D 9.4 (c 0.3, MeOH), [α]23D 9.8 (c 0.3, CHCl3). To determine the relative configurations of C-2 and C-9, the in silico approach described by Willoughby et al. 2017 [17] was used. Briefly, molecular dynamics were calculated with AMBER (University of California) to generate a library of all possible conformers for each stereochemical configuration. Density function theory was used to calculate frequency and free energy values for each conformation to generate in silico computed chemical shifts. Comparisons of mean absolute error (MAE) between experimental and computed chemical shifts of all reported 1H and 13C resonances for 1 and its methyl ester 1a revealed the relative configurations of the enantiomeric mixture of 1 as 2R,9R and 2S,9S (Tables A-D in S1 File). This in silico approach is not able to differentiate between enantiomers of 1; however, is dis- criminatory of diastereomers. The HRMS and spectroscopic data support 1 as a new rare 1,3-benzodioxin-4-one structure reported here as synnemadoxin A (Fig 3).",n,"Tanney J.B., Renaud J.B., Miller J.D., McMullin D.R.","New 1,3-benzodioxin-4-ones from Synnemapestaloides ericacearum sp nov., a biosynthetic link to remarkable compounds within the Xylariales",2018,PLOS ONE,"Scopus, Web of Science",
257,257,10.1371/journal.pone.0198321,n,n,n,n,,17,2,[17],"Theoretical chemical shifts were calculated for the four possible stereoisomers of compounds 1, and 1a based on a computational method described by Willoughby et al. [17], with some minor modifications. Briefly, the AMBER12 program suite [59] using the Generalized AMBER Force Field (GAFF) was used to explore the conformational space of each stereoiso- mer [60]. Minimized structures were heated to 500K over 5 ps (1 fs time step) and equilibrated at 500K for 1000, 100 ps cycles (0.5 fs time step). Following each cycle, structures were cooled to 0K over 5 ps (1 fs time step). Unique conformations were identified manually based on the C-2-Me, C-2, C-9, C-9-Me dihedral angles, and potential energy recorded following each cycle. Up to 20 conformations for each stereoisomer were removed for geometric optimization and frequency calculations using the B3LYP functional with a 6–31+G(d,p) basis set [61]. NMR shielding tensors were subsequently calculated from the geometry optimized structures with the B3LYP functional with the 6-311G (2d,p) basis set. Duplicate conformations with identical shielding tensors and zero point energies were removed and the chemical shift contri- bution for each conformation were averaged based on Boltzmann distributions. The scaling factor and intercept were determined using a linear fit of the theoretical tensors of all protons not predicted to be affected by the stereocenters of interest (positions 8, 5-Me, 6-Me and 7-OMe). The scaling factor and intercept were -0.99972 and 31.8085, respectively.",n,"Tanney J.B., Renaud J.B., Miller J.D., McMullin D.R.","New 1,3-benzodioxin-4-ones from Synnemapestaloides ericacearum sp nov., a biosynthetic link to remarkable compounds within the Xylariales",2018,PLOS ONE,"Scopus, Web of Science",
258,259,10.2174/1570178617666200210111928,n,n,n,n,,14,1,[14],"In our previous works, we studied the DA reaction of 1 with a number of substituted butadienes [2] and anthracene [3] experimentally and on DFT level. However, its reactions with more electron-rich conjugated systems, i.e. with furan, were not investigated. Interaction of furan with electrondeficient azo compounds such as diethyl azodicarboxylate (DEAD) is well known and leads to the formation of a normal electron demand DA reaction product [4]. It worth mentioning that some similar transformations have been recently described in detail regarding DA reaction of cyclopentadiene with β-trifluormethylated nitroethenes [5] as well as DA reaction of furan with 1-chloronitroethene [6]. Yet bis-(4,6-dichloro-[1,3,5]triazin-2-yl)-diazene is much more active electrophile and the mechanisms of its reactions and products may be interesting because of the large difference of reagents' electrophilicity making the reaction passage through polar transition states or zwitterionic intermediates possible [7, 8]. So, the main purpose of this work was to conduct a detailed study of the reaction of bis-( 4,6-dichloro-[ l ,3,5]triazin-2-yl)-diazene 1 with furan 2 and to explore possible reaction's paths using density functional theory (DFT). DFT is proved to be a powerful instrument in exploring different cycloaddition mechanisms and selectivity [9-12]. It also has emerged as the most attractive method for predicting NMR properties of organic molecules [13] and for validating the structural assignments
of new chemical compounds [14].",y,"Karkhut A., Polovkovych S., Lesyk R., Novikov V.","Regioselective IED Diels-Alder Reaction of Bis-(4,6-dichloro-[1,3,5]triazin-2-yl)-diazene with Furan and Its Molecular Mechanism",2020,LETTERS IN ORGANIC CHEMISTRY,"Scopus, Web of Science",
259,260,10.23939/chcht12.01.018,n,n,n,n,,7,1,[7],"Diels-Alder reaction is one of the most convenient methods of six-membered rings synthesis due to a large variety of dienes and dienophiles that can be used [1, 2]. Azo-compounds containing conjugated electron- withdrawing groups are very active dienophiles in normal electron demand DA reaction forming pyridazine cycle [3]. Aza-dienophiles containing electron-deficient sym-triazine are of great interest because 1,3,5-triazine moiety is a useful binder that allows to combine different fragments in one molecule and to modify products properties forming wide range of biologically active compounds [4, 5]. Azo-bis-cyanuric chloride had been described as very active dienophile able to rapidly react with 1,3-dienes even at room temperature [6]. Nevertheless, the influence of reaction conditions and products reactivity were not studied, as well as the reaction was not studied by computational methods. Computational studies on DFT level to date are the most attractive for investigation of reactions thermodynamic parameters, conformational analysis and prediction of products spectral properties [7]. Nowadays they are quick enough to give an opportunity to carry out routine studies of molecules including up to 100 atoms on desktop computer in a reasonable time [8]. DFT-based indices and descriptors are successfully applied to predict reactivity and regioselectivity in Diels-Alder reactions [9, 10].",y,"Karkhut A., Polovkovych S., Novikov V.",EXPERIMENTAL AND DFT STUDY OF AZO-BIS-CYANURIC CHLORIDE POLAR DIELS-ALDER REACTION WITH A NUMBER OF DIENES. WAYS OF FURTHER MODIFICATION OF THE OBTAINED PRODUCTS,2018,CHEMISTRY & CHEMICAL TECHNOLOGY,"Scopus, Web of Science",
260,261,10.32434/0321-4095-2021-139-6-32-39,n,n,n,n,,6,1,[6],"Establishing the spatial structure of organic molecules is an important task in the search for new biologically active compounds. The development of computational methods for predicting 1H and 13C NMR shifts, together with the development of computer technology, allows modeling the structure of even sufficiently large organic molecules [6]. Today, the most attractive method for predicting the structure and spectral properties of organic molecules is a density functional theory (DFT) [7]. It is widely used for the analysis of the conformation of molecules due to its relatively low computational complexity and good results in the comparative analysis of homologous series of molecules [8]. Even with sufficient experimental data, DFT calculations can provide information that is very useful for interpreting the structure of the obtained compounds.",y,"Karkhut A.I., Bolibrukh K.B., Khoumeri O., Vashchenko O.O., Hubytska I.I., Bolibrukh L.D., Polovkovych S.V., Terme T., Vanelle P.","Synthesis and isomerism of 2-benzoyl-5,12-dimethoxy-3-heteryl-1,2,3,4-tetrahydronaphtho[2,3-g]phthalazine-6,11-diones",2021,Voprosy Khimii i Khimicheskoi Tekhnologii,Scopus,
261,262,10.3389/fmicb.2022.950857,n,n,n,n,,apa,1,"(Willoughby et al., 2014)","The conformer rotamer ensemble sampling tool (crest) (Pracht et al., 2020) was utilized to generate candidate conformers and DFT calculations were performed using the Gaussian 16 program (Frisch et al., 2016). The shielding constants were calculated by the GIAO method with TMS (Willoughby et al., 2014). More details about the computations and DP4+ analysis were provided in the supporting information (Supplementary Material, “NMR Calculation”) (Wang et al., 2018a, 2020a,b).",n,"Lv D., Xia J., Guan X., Lai Q., Zhang B., Lin J., Shao Z., Luo S., Zhangsun D., Qin J.-J., Wang W.",Indole Diketopiperazine Alkaloids Isolated From the Marine-Derived Fungus Aspergillus chevalieri MCCC M23426,2022,FRONTIERS IN MICROBIOLOGY,"Scopus, Web of Science",
262,263,10.3389/fmolb.2021.756219,n,n,n,n,,apa,2,"(Willoughby et al., 2014; Benassi, 2017)","Computational approaches play an important role in overcoming these challenges. The use of empirical methods that are based on experimental chemical shift databases for spectral assignments may offer quick predictions, but are frequently inaccurate for carbohydrates (Pierens, 2014). The wide diversity of substructures and the complex 3D arrangements of polysaccharides far exceed the parameterization space employed for the development of these databases (Pierens, 2014). As a result, these methods are often unable to distinguish between diastereomers or account for interspatial coupling (Willoughby et al., 2014; Benassi, 2017), greatly hindering the elucidation of stereochemistry within a polysaccharide. On the other hand, quantum mechanical (QM) approaches to predicting NMR shifts have been more successful in aiding experimentalists to improve the reliability of NMR and correlate the spectra to the structure by predicting the chemical shift values of complex compounds (Pierens, 2014; Tarazona et al., 2018; Ahmed et al., 2020). This approach has even been used to correct previously misassigned spectra that relied on experimental databases and empirical-based predictions (Pierens, 2014).",y,"Bharadwaj V.S., Westawker L.P., Crowley M.F.",Towards Elucidating Structure-Spectra Relationships in Rhamnogalacturonan II: Computational Protocols for Accurate C-13 and H-1 Shifts for Apiose and Its Borate Esters,2022,FRONTIERS IN MOLECULAR BIOSCIENCES,"Scopus, Web of Science",
262,263,10.3389/fmolb.2021.756219,n,n,n,n,,apa,2,"(Taubert et al., 2005; Toukach and Ananikov, 2013a; Willoughby et al., 2014; Kemp, 2016; Benassi, 2017; Iron, 2017)","Having established a protocol that consistently replicated the ordering of chemical shifts by using implicit solvation for both geometry optimizations and NMR shielding constant calculations, we then proceeded to evaluate other NMR FBS combinations by using our protocol to improve upon other FBS combinations used in the literature. We identified 13 other NMR FBS combinations that had been recommended in the literature for NMR predictions and that could be used with implicit solvation on all our compounds (Taubert et al., 2005; Toukach and Ananikov, 2013a; Willoughby et al., 2014; Kemp, 2016; Benassi, 2017; Iron, 2017). This additionally allowed us to probe how a change in functional or basis set affects the performance of an FBS for apio–borate compounds.",n,"Bharadwaj V.S., Westawker L.P., Crowley M.F.",Towards Elucidating Structure-Spectra Relationships in Rhamnogalacturonan II: Computational Protocols for Accurate C-13 and H-1 Shifts for Apiose and Its Borate Esters,2022,FRONTIERS IN MOLECULAR BIOSCIENCES,"Scopus, Web of Science",
